Date,AAPL,CAT,GOOG
2005-12-01,,,
2005-12-02,0.014283093532471211,-0.0032252739258744785,0.008680165740514943
2005-12-05,-0.011215047734337407,-0.008195276441288145,-0.028779945344339065
2005-12-06,0.030577124422369678,0.008025384025413146,-0.0032328597461933196
2005-12-07,-0.0013510475093310942,-0.017499084507084046,-0.000791216100622308
2005-12-08,0.0017565543863795894,-0.007643917635208946,0.01578193553493098
2005-12-09,0.003369522848488521,0.012994056118097733,-0.0035372379362273608
2005-12-12,0.0077723457640882666,-0.0010327618440399095,0.008298524302395973
2005-12-13,0.0009335848863266462,0.01606832279663854,0.011757969148724578
2005-12-14,-0.040416525935116576,-0.0037375878679756537,0.0035147895251720386
2005-12-15,0.0023580121243682917,-0.0006808687786101722,0.0085322553262594
2005-12-16,-0.014934543098077674,0.0157167163188325,0.017826224232042418
2005-12-19,0.0037896617894482777,-0.048262497082425485,-0.012986360326707498
2005-12-20,0.010174731871707235,-0.0015853197325190692,0.01203276659261828
2005-12-21,0.01909322146086872,0.0059749324340467235,-0.00796668401673786
2005-12-22,0.007049240424887703,0.02371734376164273,0.01330430768941723
2005-12-23,-0.00909249527585735,0.001026427205157187,-0.0025722471880961304
2005-12-27,0.011925846890180909,-0.010652715054103106,-0.014703898483482775
2005-12-28,-0.008931214462937778,-0.0008645742729345254,0.004815918523865093
2005-12-29,-0.02923915346499924,0.0051738730491214975,-0.015445944542184637
2005-12-30,0.006139529793402404,-0.006384460187082808,-0.012670686710166839
2006-01-03,0.0390118506492835,0.0005191120561523762,0.04793361695491532
2006-01-04,0.002938840018257281,0.025114279258547152,0.02273861905581722
2006-01-05,-0.007900688986040497,0.0,0.013386097154790921
2006-01-06,0.025485643272777674,0.019713551387644263,0.031456345049527254
2006-01-09,-0.003282383098186348,0.018033205463847048,0.002659311315571207
2006-01-10,0.06132862720245538,-0.004070275651765651,0.006106871704767269
2006-01-11,0.036906331298714866,0.0004895358330649883,0.00397285010729146
2006-01-12,0.004637268034681989,0.014246767674156604,-0.01710795296680448
2006-01-13,0.015305060648057409,0.0019268925739349952,0.005635213485305302
2006-01-17,-0.010334773535131235,0.010056722828986035,0.0018426474768507455
2006-01-18,-0.026556367022123883,-0.013485650888020005,-0.04869264698877369
2006-01-19,-0.042723024390806816,0.010290954832616219,-0.019198221286193345
